train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.00022550699941348284,0,9,,,,,,,,,,
0.00022546033142134547,0,19,,,,,,,,,,
,0,23,0.025824418291449547,0.9967799782752991,0.9967696666717529,0.99998939037323,0.9792554037010269,,,,,
0.0,0,29,,,,,,,,,,
5.820762760677667e-10,0,39,,,,,,,,,,
,0,47,0.02595236524939537,0.9967799782752991,0.9967696666717529,0.9999893307685852,0.9792554037010269,,,,,
,0,48,,,,,,1.0,1.0,1.0,1.0,0.00012119687016820535
3.492459099696532e-10,1,49,,,,,,,,,,
0.00011243258632021025,1,59,,,,,,,,,,
5.8207657444020455e-11,1,69,,,,,,,,,,
,1,72,0.023361412808299065,0.9972000122070312,0.9971922039985657,0.99998939037323,0.9792554037010269,,,,,
0.00011213799734832719,1,79,,,,,,,,,,
0.000111794812255539,1,89,,,,,,,,,,
,1,96,0.02180083468556404,0.9972900152206421,0.9972828030586243,0.9999892711639404,0.9792552486622672,,,,,
,1,97,,,,,,1.0,1.0,1.0,1.0,0.0005192845710553229
0.0001114631668315269,2,99,,,,,,,,,,
0.0,2,109,,,,,,,,,,
5.8207657444020455e-11,2,119,,,,,,,,,,
,2,121,0.020397039130330086,0.9976599812507629,0.9976546764373779,0.9999892711639404,0.9792552486622672,,,,,
5.8207657444020455e-11,2,129,,,,,,,,,,
0.0,2,139,,,,,,,,,,
,2,145,0.02005104534327984,0.9976999759674072,0.9976949095726013,0.9999894499778748,0.9792552486622672,,,,,
,2,145,,,,,,1.0,1.0,1.0,1.0,0.0009166418458335102
