train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.7191023230552673,0,9,,,,,,,,,,
0.7113988399505615,0,19,,,,,,,,,,
0.7003657221794128,0,29,,,,,,,,,,
0.7007333040237427,0,39,,,,,,,,,,
,0,48,0.6841503381729126,0.5,0.0,0.8330404162406921,0.0029080421603254075,,,,,
0.6971018314361572,0,49,,,,,,,,,,
0.696380615234375,0,59,,,,,,,,,,
0.695160984992981,0,69,,,,,,,,,,
0.6860535144805908,0,79,,,,,,,,,,
0.6825528740882874,0,89,,,,,,,,,,
,0,97,0.625438928604126,0.8425999879837036,0.8640055060386658,0.9091869592666626,0.04015077835606412,,,,,
,0,97,,,,,,0.5225200057029724,0.47699788212776184,0.5311353206634521,0.0021126662048642345,0.00012180682097095996
0.6677607297897339,1,99,,,,,,,,,,
0.6121118068695068,1,109,,,,,,,,,,
0.4619443118572235,1,119,,,,,,,,,,
0.2738926410675049,1,129,,,,,,,,,,
0.18348467350006104,1,139,,,,,,,,,,
,1,146,0.5506001710891724,0.911080002784729,0.9183411002159119,0.9966022372245789,0.4378605367884066,,,,,
0.0875999927520752,1,149,,,,,,,,,,
0.12839648127555847,1,159,,,,,,,,,,
0.08740234375,1,169,,,,,,,,,,
0.06139139086008072,1,179,,,,,,,,,,
0.042120594531297684,1,189,,,,,,,,,,
,1,195,0.10402879118919373,0.9837300181388855,0.983990490436554,0.9975441694259644,0.40081055592249554,,,,,
,1,195,,,,,,0.9029300212860107,0.9038482308387756,0.9670274257659912,0.15075534161514118,0.0005191602976992726
0.028330214321613312,2,199,,,,,,,,,,
0.02279307320713997,2,209,,,,,,,,,,
0.03202023357152939,2,219,,,,,,,,,,
0.04762115329504013,2,229,,,,,,,,,,
0.025869835168123245,2,239,,,,,,,,,,
,2,244,0.08215334266424179,0.9862499833106995,0.9864364862442017,0.9982833862304688,0.5483868824151079,,,,,
0.021043242886662483,2,249,,,,,,,,,,
0.014131007716059685,2,259,,,,,,,,,,
0.031193383038043976,2,269,,,,,,,,,,
0.026410071179270744,2,279,,,,,,,,,,
0.009674888104200363,2,289,,,,,,,,,,
,2,293,0.05580548942089081,0.992169976234436,0.9922308325767517,0.9988939762115479,0.523708034980983,,,,,
,2,293,,,,,,0.9945799708366394,0.9945980310440063,0.9987179040908813,0.6411747342798985,0.0009173585567623377
0.016748007386922836,3,299,,,,,,,,,,
0.004339120350778103,3,309,,,,,,,,,,
0.012991685420274734,3,319,,,,,,,,,,
0.007530647795647383,3,329,,,,,,,,,,
0.013568500056862831,3,339,,,,,,,,,,
,3,342,0.04261675849556923,0.9929599761962891,0.9930092096328735,0.9996488094329834,0.820151425235828,,,,,
0.01811511255800724,3,349,,,,,,,,,,
0.007990751415491104,3,359,,,,,,,,,,
0.005653104279190302,3,369,,,,,,,,,,
0.01061257068067789,3,379,,,,,,,,,,
0.005029887892305851,3,389,,,,,,,,,,
,3,391,0.04237574338912964,0.9931600093841553,0.9932064414024353,0.9996459484100342,0.749024448943534,,,,,
,3,391,,,,,,0.9975299835205078,0.9975332021713257,0.9994660019874573,0.789577197532859,0.0009832445066422224
0.003750252304598689,4,399,,,,,,,,,,
0.00992821529507637,4,409,,,,,,,,,,
0.006909499876201153,4,419,,,,,,,,,,
0.015643086284399033,4,429,,,,,,,,,,
0.010168404318392277,4,439,,,,,,,,,,
,4,440,0.026635466143488884,0.9959700107574463,0.9959861636161804,0.9997662305831909,0.8787217379309074,,,,,
0.010434431955218315,4,449,,,,,,,,,,
0.009240776300430298,4,459,,,,,,,,,,
0.014173449948430061,4,469,,,,,,,,,,
0.009130895137786865,4,479,,,,,,,,,,
0.023990634828805923,4,489,,,,,,,,,,
,4,489,0.027142727747559547,0.9962700009346008,0.9962838888168335,0.9997853636741638,0.855138868992656,,,,,
,4,489,,,,,,0.9980300068855286,0.9980319142341614,0.999677300453186,0.8585815851187157,0.0008871996542438865
0.00811731442809105,5,499,,,,,,,,,,
0.005146689713001251,5,509,,,,,,,,,,
0.006112037692219019,5,519,,,,,,,,,,
0.005736551247537136,5,529,,,,,,,,,,
,5,538,0.01957714930176735,0.9964799880981445,0.996492326259613,0.9997789859771729,0.8635347721517349,,,,,
0.002875196747481823,5,539,,,,,,,,,,
0.012749610468745232,5,549,,,,,,,,,,
0.0022062892094254494,5,559,,,,,,,,,,
0.007361132651567459,5,569,,,,,,,,,,
0.010938890278339386,5,579,,,,,,,,,,
,5,587,0.017850691452622414,0.9976500272750854,0.9976555109024048,0.9997869729995728,0.8489543314075905,,,,,
,5,587,,,,,,0.9983199834823608,0.9983213543891907,0.9997234344482422,0.875463995002732,0.0007144658593460917
0.0019495257874950767,6,589,,,,,,,,,,
0.004217842593789101,6,599,,,,,,,,,,
0.006612563040107489,6,609,,,,,,,,,,
0.0022726748138666153,6,619,,,,,,,,,,
0.0020327516831457615,6,629,,,,,,,,,,
,6,636,0.015332942828536034,0.9980199933052063,0.9980239272117615,0.9997975826263428,0.8773307517689644,,,,,
0.003408665768802166,6,639,,,,,,,,,,
0.00638339389115572,6,649,,,,,,,,,,
0.001518226694315672,6,659,,,,,,,,,,
0.0077171181328594685,6,669,,,,,,,,,,
0.005999870598316193,6,679,,,,,,,,,,
,6,685,0.017903106287121773,0.9979000091552734,0.9979044198989868,0.9996089935302734,0.7139651921294508,,,,,
,6,685,,,,,,0.9988700151443481,0.9988706707954407,0.9998416304588318,0.9247712731797686,0.0004992543836124241
