train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.695296049118042,0,9,,,,,,,,,,
0.6897018551826477,0,19,,,,,,,,,,
,0,23,0.6851857900619507,0.5,0.0,0.9958888292312622,0.6676168862390319,,,,,
0.683700680732727,0,29,,,,,,,,,,
0.666946530342102,0,39,,,,,,,,,,
,0,47,0.6420401930809021,0.7336699962615967,0.6369893550872803,0.9990473985671997,0.8713050904284679,,,,,
,0,48,,,,,,0.5413900017738342,0.15290270745754242,0.7554415464401245,0.19151509147332024,0.00012112043623346835
0.6362886428833008,1,49,,,,,,,,,,
0.589117705821991,1,59,,,,,,,,,,
0.506629228591919,1,69,,,,,,,,,,
,1,72,0.45859649777412415,0.9892799854278564,0.9893937110900879,0.9997665882110596,0.9243346825163229,,,,,
0.393546998500824,1,79,,,,,,,,,,
0.2636633813381195,1,89,,,,,,,,,,
,1,96,0.17394383251667023,0.9973000288009644,0.9973072409629822,0.9999832510948181,0.9880876423669044,,,,,
,1,97,,,,,,0.9488099813461304,0.9464936852455139,0.997023344039917,0.7644502850603854,0.0005191657110117376
0.16726699471473694,2,99,,,,,,,,,,
0.08870045840740204,2,109,,,,,,,,,,
0.045690082013607025,2,119,,,,,,,,,,
,2,121,0.029125278815627098,0.9997599720954895,0.9997600317001343,0.9999951124191284,0.9962995695896159,,,,,
0.02432573214173317,2,129,,,,,,,,,,
0.017289377748966217,2,139,,,,,,,,,,
,2,145,0.009653697721660137,0.999809980392456,0.999809980392456,0.9999970197677612,0.9977954836510404,,,,,
,2,146,,,,,,0.9995599985122681,0.9995601177215576,0.9999878406524658,0.9910857768842968,0.0009180555935017765
0.011629099026322365,3,149,,,,,,,,,,
0.00845671072602272,3,159,,,,,,,,,,
0.007496792823076248,3,169,,,,,,,,,,
,3,170,0.005369187798351049,0.9998000264167786,0.9998000264167786,0.9999973177909851,0.9979361622496615,,,,,
0.005705803632736206,3,179,,,,,,,,,,
0.005274132825434208,3,189,,,,,,,,,,
,3,194,0.00408910820260644,0.9996399879455566,0.9996399283409119,0.9999975562095642,0.9980529435029162,,,,,
,3,195,,,,,,0.9999300241470337,0.9999300241470337,0.9999988079071045,0.9990958970125983,0.0009829886257648468
0.0034169366117566824,4,199,,,,,,,,,,
0.0031821869779378176,4,209,,,,,,,,,,
0.005635011941194534,4,219,,,,,,,,,,
,4,219,0.0033926006872206926,0.9995800256729126,0.999579906463623,0.9999979734420776,0.9983156783188892,,,,,
0.0026593320071697235,4,229,,,,,,,,,,
0.0028268033638596535,4,239,,,,,,,,,,
,4,243,0.002977968193590641,0.9995599985122681,0.9995598793029785,0.9999984502792358,0.9986153945837704,,,,,
,4,244,,,,,,0.9998999834060669,0.9998999834060669,0.9999973177909851,0.9970830013608448,0.0008864873670972884
0.0025410111993551254,5,249,,,,,,,,,,
0.0020857795607298613,5,259,,,,,,,,,,
,5,268,0.0028494091238826513,0.999530017375946,0.9995298385620117,0.9999984502792358,0.9986763876383115,,,,,
0.0018158785533159971,5,269,,,,,,,,,,
0.0023671023081988096,5,279,,,,,,,,,,
0.0017566350288689137,5,289,,,,,,,,,,
,5,292,0.00279613072052598,0.999530017375946,0.9995298385620117,0.9999985098838806,0.9988359448658153,,,,,
