train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr,learning_rate
3.273086406352377e-07,0,9,,,,,,,,,,
5.8207657444020455e-11,0,19,,,,,,,,,,
,0,23,0.0731600672006607,0.9916700124740601,0.9916002154350281,0.999997079372406,0.9978133765914076,,,,,
3.6088647625831527e-09,0,29,,,,,,,,,,
0.0,0,39,,,,,,,,,,
,0,47,0.07252336293458939,0.9917399883270264,0.9916713833808899,0.9999971985816956,0.9978336739154908,,,,,
,0,48,,,,,,1.0,1.0,1.0000001192092896,1.0,0.00012112808326492086
4.0463294226356084e-07,1,49,,,,,,,,,,
1.7462296886261441e-10,1,59,,,,,,,,,,
1.862642484695698e-09,1,69,,,,,,,,,,
,1,72,0.0667206421494484,0.99235999584198,0.992301344871521,0.9999973177909851,0.9978329372408823,,,,,
1.1220040505577344e-06,1,79,,,,,,,,,,
1.1641530794914701e-10,1,89,,,,,,,,,,
,1,96,0.06200291961431503,0.992579996585846,0.9925248622894287,0.9999972581863403,0.9978530551190748,,,,,
,1,97,,,,,,1.0,1.0,1.0,1.0,0.0005191775853745639
2.679162491858733e-07,2,99,,,,,,,,,,
5.2386752713573514e-09,2,109,,,,,,,,,,
1.1936933219658385e-07,2,119,,,,,,,,,,
,2,121,0.05287269875407219,0.9934700131416321,0.9934274554252625,0.9999973773956299,0.997873292273225,,,,,
1.4784534485556833e-08,2,129,,,,,,,,,,
7.857978268077659e-09,2,139,,,,,,,,,,
,2,145,0.04568544402718544,0.9943699836730957,0.9943385720252991,0.9999974370002747,0.9979137656006521,,,,,
,2,146,,,,,,0.9999899864196777,0.9999899864196777,1.0,1.0,0.0009180596680380404
3.148936045249684e-08,3,149,,,,,,,,,,
1.7462296886261441e-10,3,159,,,,,,,,,,
5.8207657444020455e-11,3,169,,,,,,,,,,
,3,170,0.032195497304201126,0.9957600235939026,0.9957424402236938,0.9999877214431763,0.9782352659583664,,,,,
2.3283061589829401e-10,3,179,,,,,,,,,,
1.746229549848266e-10,3,189,,,,,,,,,,
,3,194,0.03607676178216934,0.9954900145530701,0.9954699277877808,0.9999879002571106,0.9782557664588668,,,,,
,3,195,,,,,,1.0,1.0,1.0,1.0,0.0009829869959503412
5.8207657444020455e-11,4,199,,,,,,,,,,
9.313223525708736e-10,4,209,,,,,,,,,,
5.8207657444020455e-11,4,219,,,,,,,,,,
,4,219,0.035630516707897186,0.9951000213623047,0.9950762391090393,0.999987781047821,0.9782557664588668,,,,,
1.5017359800140184e-08,4,229,,,,,,,,,,
5.8207657444020455e-11,4,239,,,,,,,,,,
,4,243,0.036688536405563354,0.9950500130653381,0.9950257539749146,0.9999879598617554,0.9782557664588668,,,,,
,4,244,,,,,,1.0,1.0,1.0,1.0,0.0008864836418069899
0.0,5,249,,,,,,,,,,
1.7462277179802754e-09,5,259,,,,,,,,,,
,5,268,0.03438226506114006,0.9957299828529358,0.9957121014595032,0.9999879002571106,0.9782557664588668,,,,,
,5,268,,,,,,1.0,1.0,1.0,1.0,0.0007645144942216575
