val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_loss,train_acc,train_f1,train_auc,train_tpr,learning_rate
0.6093607544898987,0.9976266026496887,0.0,0.8675654530525208,0.0,0,6,,,,,,
,,,,,0,9,0.6730009317398071,,,,,
0.6032451391220093,0.9976266026496887,0.0,0.9629923701286316,0.1350210970464135,0,13,,,,,,
,,,,,0,14,,0.6148819923400879,0.4058835506439209,0.5848556756973267,0.014733385894359312,5.906837395741604e-05
,,,,,1,19,0.6595532894134521,,,,,
0.5945138931274414,0.9976266026496887,0.0,0.9949482083320618,0.43248945147679324,1,21,,,,,,
0.5721524953842163,0.9981539845466614,0.3636363744735718,0.9983845949172974,0.770042194092827,1,28,,,,,,
,,,,,1,29,0.6296262741088867,,,,,
,,,,,1,29,,0.6864248514175415,0.534033477306366,0.7206903100013733,0.03691106172557569,0.00017943367129191756
0.5029257535934448,0.9994725584983826,0.8888888955116272,0.9996768832206726,0.8649789029535865,2,36,,,,,,
,,,,,2,39,0.5418761968612671,,,,,
0.37709322571754456,0.9997363090515137,0.9473684430122375,0.9999706149101257,1.0,2,43,,,,,,
,,,,,2,44,,0.8361114859580994,0.7778380513191223,0.9192483425140381,0.2573482380947414,0.00039306722464971244
,,,,,3,49,0.33951738476753235,,,,,
0.18250998854637146,0.9957805871963501,0.529411792755127,1.0,1.0,3,51,,,,,,
0.05766185373067856,0.9918248653411865,0.36734694242477417,1.0,1.0,3,58,,,,,,
,,,,,3,59,0.1250120997428894,,,,,
,,,,,3,59,,0.9477263689041138,0.9354626536369324,0.988118052482605,0.5207956106141879,0.0006414629169739783
0.013725318014621735,0.9952531456947327,0.5,1.0,1.0,4,66,,,,,,
,,,,,4,69,0.04165474325418472,,,,,
0.009568952023983002,0.9955168962478638,0.5142857432365417,1.0000001192092896,1.0,4,73,,,,,,
,,,,,4,74,,0.9888651967048645,0.9865202903747559,0.9992241859436035,0.7935622853550792,0.0008565944735892117
,,,,,5,79,0.0115726413205266,,,,,
0.004103969782590866,0.997890293598175,0.692307710647583,1.0,1.0,5,81,,,,,,
,,,,,5,81,,0.9966517686843872,0.9959431886672974,0.9999363422393799,0.9752194185132882,0.0009631621069274843
