val_loss,val_acc,val_f1,val_auc,val_tpr,epoch,step,train_acc,train_f1,train_auc,train_tpr,learning_rate,train_loss
0.6958145499229431,0.05116033926606178,0.0038759689778089523,0.3622639775276184,0.0,0,3,,,,,,
0.6945961713790894,0.18670886754989624,0.0032320620957762003,0.31745821237564087,0.0,0,7,,,,,,
,,,,,0,8,0.4466930329799652,0.003664495190605521,0.44270768761634827,nan,5.74446858081501e-05,
,,,,,1,9,,,,,,0.6938672661781311
0.6917396187782288,0.6954113841056824,0.0017286085058003664,0.27567774057388306,0.0,1,12,,,,,,
0.6876736283302307,0.9767932295799255,0.0,0.27435603737831116,0.0,1,16,,,,,,
,,,,,1,17,0.5327303409576416,0.004815795924514532,0.4698117673397064,nan,0.0001760866289259866,
,,,,,2,19,,,,,,0.6845664381980896
0.6788386702537537,0.9976266026496887,0.0,0.29562073945999146,0.0,2,21,,,,,,
0.666815996170044,0.9976266026496887,0.0,0.30607691407203674,0.0,2,25,,,,,,
,,,,,2,25,0.7442626953125,0.002855782862752676,0.30209627747535706,0.0,0.0003811022324953228,
