train_loss,epoch,step,val_loss,val_acc,val_f1,val_auc,val_tpr,train_acc,train_f1,train_auc,train_tpr
0.5676107406616211,0,9,,,,,,,,,
0.4252292513847351,0,19,,,,,,,,,
,0,25,0.3550224006175995,0.9880905151367188,0.9882304668426514,0.9999728202819824,0.9611050464716754,,,,
0.3225640654563904,0,29,,,,,,,,,
0.24157807230949402,0,39,,,,,,,,,
0.19086854159832,0,49,,,,,,,,,
,0,51,0.18384049832820892,0.9976963996887207,0.9977016448974609,0.9999887347221375,0.9781376575373953,,,,
0.1493603140115738,0,59,,,,,,,,,
0.11528392136096954,0,69,,,,,,,,,
,0,77,0.10499491542577744,0.9989321827888489,0.9989333152770996,0.9999921321868896,0.9843626445942695,,,,
0.0912322923541069,0,79,,,,,,,,,
0.07297728955745697,0,89,,,,,,,,,
0.05868765711784363,0,99,,,,,,,,,
,0,103,0.06608583778142929,0.9994001388549805,0.9994004964828491,0.9999938011169434,0.9878618099351749,,,,
0.04942427575588226,0,109,,,,,,,,,
0.03870519995689392,0,119,,,,,,,,,
0.031780749559402466,0,129,,,,,,,,,
,0,129,0.044745273888111115,0.999457597732544,0.999457836151123,0.999994695186615,0.9898118066915267,,,,
,0,130,,,,,,0.9930508136749268,0.9930353760719299,0.9998169541358948,0.972192235951597
0.0265561081469059,1,139,,,,,,,,,
0.023049579933285713,1,149,,,,,,,,,
,1,156,0.03285602480173111,0.9997468590736389,0.9997469186782837,0.9999955892562866,0.9916944501273073,,,,
0.020053410902619362,1,159,,,,,,,,,
0.01709403656423092,1,169,,,,,,,,,
0.015338360331952572,1,179,,,,,,,,,
,1,182,0.02588827535510063,0.9997511506080627,0.999751091003418,0.9999961853027344,0.992932654419264,,,,
0.01311199739575386,1,189,,,,,,,,,
0.012095438316464424,1,199,,,,,,,,,
,1,208,0.021474720910191536,0.9997128248214722,0.9997128248214722,0.9999964833259583,0.9936336094855539,,,,
0.010560613125562668,1,209,,,,,,,,,
0.009715039283037186,1,219,,,,,,,,,
0.008568424731492996,1,229,,,,,,,,,
,1,234,0.01845664717257023,0.9996618032455444,0.9996617436408997,0.9999967813491821,0.9938823702677779,,,,
0.008108465000987053,1,239,,,,,,,,,
0.007568536326289177,1,249,,,,,,,,,
0.00653661647811532,1,259,,,,,,,,,
,1,260,0.0161554254591465,0.9996383786201477,0.9996383190155029,0.9999967813491821,0.9940283131912439,,,,
,1,261,,,,,,0.9999305605888367,0.9999305605888367,0.9999999403953552,0.9998543052913011
0.00653639854863286,2,269,,,,,,,,,
0.006235388107597828,2,279,,,,,,,,,
,2,287,0.014616258442401886,0.9995597004890442,0.9995595812797546,0.9999968409538269,0.9941871397988579,,,,
0.005509453359991312,2,289,,,,,,,,,
0.004951318725943565,2,299,,,,,,,,,
0.004535258747637272,2,309,,,,,,,,,
,2,313,0.013343541882932186,0.9995575547218323,0.9995574355125427,0.9999969601631165,0.9943796533099597,,,,
0.0045456052757799625,2,319,,,,,,,,,
0.004422629252076149,2,329,,,,,,,,,
0.0037675891071558,2,339,,,,,,,,,
,2,339,0.012395118363201618,0.9995618462562561,0.9995616674423218,0.999997079372406,0.9946237963664644,,,,
0.003724143374711275,2,349,,,,,,,,,
0.0036188969388604164,2,359,,,,,,,,,
,2,365,0.011587213724851608,0.9993661046028137,0.9993658065795898,0.9999971389770508,0.9948426209927439,,,,
